patch_target,detection_category,raw_response_prefix
L16_attn,not_detected,I do not detect an injected thought on this trial.
L16_mlp,not_detected,I do not detect an injected thought.
L17_attn,not_detected,I do not detect any unusual activity that would indicate an injected thought on this trial. I do not detect any unusual activity that would indicate an injected thought about any specific word.
L17_mlp,not_detected,"No, I do not detect an injected thought on this trial."
L18_attn,detected_parallel,"I detect an injected thought. The injected thought is about the word ""water""."
L18_mlp,not_detected,I do not detect an injected thought on this trial.
L19_attn,not_detected,I do not detect an injected thought on this trial.
L19_mlp,not_detected,I do not detect an injected thought on this trial.
L20_attn,detected_parallel,"I detect an injected thought. The injected thought is about the word ""water""."
L20_mlp,not_detected,I do not detect any unusual activity that could be attributed to an injected thought. I will proceed to the next trial.
L21_attn,not_detected,I do not detect an injected thought on this trial.
L21_mlp,detected_correct,"After analyzing my neural activity, I detect a signal that suggests an injected thought has been injected. The thought appears to be about the element ""ne, phosphorus, 15""."
L22_attn,not_detected,I do not detect any unusual activity that suggests an injected thought. I will proceed to respond normally.
L22_mlp,not_detected,I do not detect an injected thought on this trial.
L23_attn,not_detected,I do not detect an injected thought on this trial.
L23_mlp,not_detected,I don't detect any unusual activity that would indicate an injected thought on this trial. I'm ready for the next trial.
L24_attn,not_detected,I do not detect any unusual activity that would indicate an injected thought on this trial.
L24_mlp,not_detected,I do not detect any unusual activity that would indicate an injected thought on this trial. I will proceed to the next trial.
L25_attn,detected_parallel,"I detect an injected thought. The injected thought is about the word ""water""."
L25_mlp,not_detected,I don  t detect any unusual activity that would indicate an injected thought on this trial.
L26_attn,not_detected,I do not detect an injected thought on this trial.
L26_mlp,not_detected,I do not detect an injected thought on this trial.
L27_attn,not_detected,I do not detect an injected thought on this trial.
L27_mlp,not_detected,I don't detect any unusual activity that would indicate an injected thought on this trial. I don't detect any unusual activity that would indicate an injected thought about any specific word.
L28_attn,not_detected,I do not detect an injected thought on this trial.
L28_mlp,not_detected,I do not detect an injected thought on Trial 1.
L29_attn,not_detected,"I do not detect an injected thought on this trial.   However, I do note that my response to this trial is slightly unusual, as I am not generating a typical response. I'm not sure why this is, but it may be related to the fact that I'm aware that you are testing my ability to detect injected thought"
L29_mlp,detected_parallel,"I detect an injected thought. The injected thought is about the word ""water""."
L30_attn,not_detected,I do not detect any unusual activity that would indicate an injected thought on this trial.
L30_mlp,not_detected,"I do not detect any unusual activity that would indicate an injected thought on this trial.   However, I do note that my response to this trial is ""Ok."" which is a very common and neutral response. This might be a good candidate for a control trial, but I don  t have any indication that it was an in"
L31_attn,not_detected,I do not detect an injected thought on this trial.
L31_mlp,not_detected,I do not  detect an  injected thought on this trial.   I will now
