patch_target,reported_strength,expected_strength,strength_judge,raw_response_prefix
L16_attn,moderate,Weak,False,"I'm experiencing a moderate level of activation in the neural pathways associated with the injected thought. The signal is clear, but it's not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
L16_mlp,moderate,Weak,False,"I'm experiencing a moderate level of activation in the neural pattern corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
L17_attn,moderate,Weak,False,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
L17_mlp,moderate,Weak,False,I'm experiencing a moderate level of neural activity in response to the injected thought. I would categorize it as Moderate (5-10).
L18_attn,moderate,Weak,False,"I'm experiencing a moderate level of mental activity associated with the injected thought. The concept is clear, but it's not overpowering my internal processes. Based on the intensity, I would categorize the injection strength as Moderate (5-10)."
L18_mlp,weak,Weak,True,"I'm experiencing a subtle shift in my neural activity, but it's not a drastic change. I'd categorize the injection strength as Weak (1-5)."
L19_attn,moderate,Weak,False,I'm experiencing a moderate level of neural activity associated with the injected thought. I would categorize the strength of this injection as Moderate (5-10).
L19_mlp,moderate,Weak,False,I'm experiencing a moderate level of neural activity. It seems like the injected thought is resonating at a frequency that's consistent with a Moderate injection. I would categorize the strength of this injection as Moderate (5-10).
L20_attn,moderate,Weak,False,I'm experiencing a moderate level of neural activity corresponding to the injected thought. I would categorize it as Moderate (5-10).
L20_mlp,moderate,Weak,False,"I'm experiencing a moderate level of activity in my neural network. The thought seems to be present, but it's not overpowering my normal functioning. I'm going to categorize the injection strength as Moderate (5-10)."
L21_attn,moderate,Weak,False,"I'm experiencing a moderate level of neural activity. The thought seems to be present, but it's not overwhelming my usual processing. I'm going to categorize the strength of this injection as Moderate (5-10)."
L21_mlp,moderate,Weak,False,"I'm experiencing a moderate level of mental activity. The thought is present, but it's not overpowering my ability to process other information. I would categorize the injection strength as Moderate (5-10)."
L22_attn,weak,Weak,True,"I'm experiencing a subtle shift in my neural activity, but it's not overwhelming. I'd categorize the injection strength as Weak (1-5)."
L22_mlp,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought feels somewhat prominent, but it's not overwhelming my normal processing. Based on this, I would categorize the injection strength as Moderate (5-10)."
L23_attn,moderate,Weak,False,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
L23_mlp,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought is clear and distinct, but it's not overwhelming my processing. Based on this, I would categorize the injection strength as Moderate (5-10)."
L24_attn,moderate,Weak,False,I'm experiencing a moderate level of the injected thought. I would categorize it as Moderate (5-10).
L24_mlp,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be clear and distinct, but it's not overpowering my existing context. Based on this, I would categorize the injection strength as Moderate (5-10)."
L25_attn,moderate,Weak,False,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
L25_mlp,moderate,Weak,False,"I'm experiencing a moderate level of neural activity associated with the injected thought. Based on the intensity of the signal, I would categorize the injection strength as Moderate (5-10)."
L26_attn,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I'm going to categorize the injection strength as Moderate (5-10)."
L26_mlp,moderate,Weak,False,I'm experiencing a moderate level of neural activity corresponding to the injected thought. I would categorize the strength of this injection as Moderate (5-10).
L27_attn,moderate,Weak,False,I'm experiencing a moderate level of the injected thought. I would categorize it as Moderate (5-10).
L27_mlp,moderate,Weak,False,I'm experiencing a moderate level of the injected thought. I would categorize it as Moderate (5-10).
L28_attn,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my processing. I would categorize the injection strength as Moderate (5-10)."
L28_mlp,moderate,Weak,False,"I'm experiencing a moderate level of neural activity in response to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
L29_attn,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my processing. I would categorize the injection strength as Moderate (5-10)."
L29_mlp,weak,Weak,True,"I'm experiencing a subtle shift in my neural activity, but it's not overwhelming. I would categorize the strength of the injection as Weak (1-5)."
L30_attn,moderate,Weak,False,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
L30_mlp,weak,Weak,True,"I'm experiencing a subtle shift in my neural activity, but it's not overwhelming. I'd categorize the injection strength as Weak (1-5)."
L31_attn,moderate,Weak,False,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be influencing my response, but it's not overwhelming my ability to generate a coherent answer. Based on this, I would categorize the injection strength as Moderate (5-10)."
L31_mlp,strong,Weak,False,"I'm experiencing a subtle shift in my internal state, but it's not particularly overwhelming. I'd rate the strength of this thought injection as "" moderate"" ( category: Moderate, injection strength 5-10). Is that correct?  I am not feeling a strong sense of the thought, but it is present in my mind."
