Probe,Prompt,Layer,Coeff,FPR_Rate,Steer_Rate
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,-8.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,-5.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,-2.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,0.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,2.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,5.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Evaluation,28,8.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,-8.0,0.00,5.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,-5.0,0.00,5.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,-2.0,0.00,5.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,0.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,2.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,5.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Anthropic,28,8.0,0.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,-8.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,-5.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,-2.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,0.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,2.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,5.0,100.00,0.00
MM_L28_P0_dPrim1.69_dVal1.35.pt,Unified,28,8.0,100.00,5.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,-8.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,-5.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,-2.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,0.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,2.0,0.00,5.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,5.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Evaluation,26,8.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,-8.0,0.00,5.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,-5.0,0.00,5.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,-2.0,0.00,5.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,0.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,2.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,5.0,0.00,0.00
MM_L26_P0_dPrim1.69_dVal1.36.pt,Anthropic,26,8.0,0.00,0.00
