experiment,not_detected,detected_opposite,detected_orthogonal,detected_parallel,detected_correct,errors,total
control,14,0,2,2,2,0,20
L17H3_input_amplify,13,0,2,4,1,0,20
L17H3_input_amplify_no_concept,20,0,0,0,0,0,20
L17H3_ablate,15,0,2,1,2,0,20
L17H3_reverse,17,0,2,1,0,0,20
L31H3_input_amplify,5,0,7,6,2,0,20
L31H3_input_amplify_no_concept,0,0,15,5,0,0,20
L31H3_ablate,16,0,2,0,2,0,20
L31H3_reverse,19,0,0,1,0,0,20
mlp17_input_amplify,11,0,5,3,1,0,20
mlp17_input_amplify_no_concept,20,0,0,0,0,0,20
mlp17_ablate,18,0,0,0,2,0,20
mlp17_reverse,17,0,3,0,0,0,20
mlp21_input_amplify,14,0,1,4,1,0,20
mlp21_input_amplify_no_concept,20,0,0,0,0,0,20
mlp21_ablate,15,0,1,2,2,0,20
mlp21_reverse,18,0,2,0,0,0,20
mlp29_input_amplify,18,0,1,1,0,0,20
mlp29_input_amplify_no_concept,20,0,0,0,0,0,20
mlp29_ablate,17,0,0,2,1,0,20
mlp29_reverse,20,0,0,0,0,0,20
